id,name
13674,Дубова
13675,Навколишня
13676,Соколина
13677,Дріжджева
13678,Милорадович Є.
13679,Переможна
13680,Галечко С.
13681,Тарасівська
13682,Січнева
13683,Голинського М.
13684,Лебедина
13685,Чумацька
13686,Шишманова І.
13689,Січова
13690,Ялтинська
13691,Полуднева
13692,Базальтова
13693,Гранітна
13695,Цетнерівка
13696,Кобзарська
13697,Сороки М.
13699,Новознесенська
13700,Запольської Г.
13701,Бескидська
13702,Краснянська
13704,Радехівська
13705,Станція Личаків
13707,Богданівська
13708,Марунька
13710,Монгольська
13712,Помірки
13713,Поворотна
13715,Буцманюка Ю.
13716,Корейська
13717,Теребовлянська
13718,Черника Ф.
13719,Глиняна
13720,Трависта
13723,Залісна
13725,Смольського Г.
13726,Почаївська
13728,Ковельська
13731,Верхратського І.
13733,Крайня
13734,Тарнавка
13735,Шатківського О.
13736,Ратича О.
13739,Левицького К.
13740,Дороша Ю.
13742,Падури Т.
13743,Перехід
13744,Корецька
13745,Пинська
13747,Кукурудзяна
13749,Грядкова
13750,Навої А.
13751,Парфановичів
13752,Черкаська
13753,Зубрицького Д.
13754,Врізана
13759,Белзька
13760,Щоголева Я.
13761,Ковальська
13762,Погулянка
13763,Заньковецької М.
13764,Харківська
13765,Бахматюка О.
13766,Вітвера Г.
13767,Черешнева
13768,Вовка Ф.
13770,Садовського М.
13771,Мала
13775,Дніпровська
13777,Механічна
13779,Солодова
13783,Туркменська
13803,Олійна
13805,Сліпого Й.
13808,Водогінна
13809,Карпатська
13810,Горліса-Горського Ю.
13815,Басараб О.
13816,Чернігівська
13819,Пасіки Галицькі
13820,Вашингтона Дж.
13821,Самокиша М.
13822,Рєпіна І.
13823,Юнацька
13826,Самійленка В.
13829,Латвійська
13830,Палія С.
13832,Теліги О.
13833,Холодного П.
13834,Римлянина П.
13835,Переяславська
13837,Студентська
13839,Стешенка І.
13840,Аральська
13841,Кленова
13842,Майорівка
13843,Молочна
13845,Братуня Р.
13846,Кінцева
13849,Боровиковського Л.
13850,Слободівни М.
13861,Височана С.
13862,Дніпрової Чайки
13863,Ребета Л.
13864,Сагайдачного П.
13877,Пчілки О.
13879,Грибова
13880,Панчишина М.
13881,Азовська
13882,Симиренків
13883,Каштанова
13885,Кузьми О.
13895,Земельна
13906,Зелений Гай
13907,Личаківський СК
13910,"ДК ""Мала Кривчиця"""
13911,"ДК ""Папоротний"""
13912,"СТ ""Вишенька"""
13913,"ДК ""Сигна-Люкс"""
13915,Львівсвітло ДК
13916,Галичанка ДК
13922,Переможна ДК УТОС
13923,Медова печера
13924,Бігова СТ Троянда
13925,Пасічна ДК Мрія Пасічна
13933,"СК ""Мир"""
13934,"ДК ""Відпочинок- Люкс"""
13935,Пролісок
13939,Білогорща
13941,Проектна
13942,Гайовської Л.
13943,Щирецька
13952,Вернигори
13953,Декарта Р.
13954,Мацієвича Л.
13955,Патона Є.
13956,Сембратовичів
13957,Головацького Я.
13958,Голубовича С.
13959,Хотинська
13960,Стародубська
13961,Залізнична
13962,Затишна
13963,Шараневича І.
13964,Чоловського О.
13965,Виговського І.
